datestamp,name,date_value,code
1960-01-01,美国,541.99,USA
1960-01-01,德国,84.62,DEU
1960-01-01,英国,73.23,GBR
1960-01-01,法国,61.76,FRA
1960-01-01,中国,59.72,CHN
1960-01-01,日本,47.42,JPN
1960-01-01,意大利,42.01,ITA
1960-01-01,加拿大,40.56,CAN
1960-01-01,印度,37.03,IND
1960-01-01,澳大利亚,18.61,AUS
1960-01-01,巴西,17.03,BRA
1960-01-01,瑞典,15.93,SWE
1960-01-01,土耳其,13.98,TUR
1960-01-01,荷兰,13.28,NLD
1960-01-01,墨西哥,13.04,MEX
1960-01-01,西班牙,12.42,ESP
1960-01-01,比利时,11.81,BEL
1960-01-01,瑞士,10.41,CHE
1960-01-01,伊朗,4.2,IRN
1960-01-01,韩国,3.96,KOR
1960-01-01,沙特阿拉伯,1.75,SAU
1961-01-01,美国,561.94,USA
1961-01-01,德国,96.56,DEU
1961-01-01,英国,77.74,GBR
1961-01-01,法国,66.81,FRA
1961-01-01,日本,57.27,JPN
1961-01-01,中国,50.06,CHN
1961-01-01,意大利,46.65,ITA
1961-01-01,加拿大,41.04,CAN
1961-01-01,印度,39.23,IND
1961-01-01,澳大利亚,19.68,AUS
1961-01-01,瑞典,17.33,SWE
1961-01-01,巴西,17.28,BRA
1961-01-01,荷兰,14.6,NLD
1961-01-01,西班牙,14.24,ESP
1961-01-01,墨西哥,14.16,MEX
1961-01-01,比利时,12.56,BEL
1961-01-01,瑞士,11.71,CHE
1961-01-01,土耳其,7.99,TUR
1961-01-01,伊朗,4.43,IRN
1961-01-01,韩国,2.42,KOR
1961-01-01,沙特阿拉伯,1.92,SAU
1962-01-01,美国,603.64,USA
1962-01-01,德国,105.9,DEU
1962-01-01,英国,81.25,GBR
1962-01-01,法国,74.89,FRA
1962-01-01,日本,64.99,JPN
1962-01-01,意大利,52.41,ITA
1962-01-01,中国,47.21,CHN
1962-01-01,加拿大,42.34,CAN
1962-01-01,印度,42.16,IND
1962-01-01,阿根廷,24.45,ARG
1962-01-01,澳大利亚,19.92,AUS
1962-01-01,巴西,19.23,BRA
1962-01-01,瑞典,18.79,SWE
1962-01-01,西班牙,16.61,ESP
1962-01-01,荷兰,15.85,NLD
1962-01-01,墨西哥,15.2,MEX
1962-01-01,比利时,13.44,BEL
1962-01-01,瑞士,12.99,CHE
1962-01-01,土耳其,8.92,TUR
1962-01-01,伊朗,4.69,IRN
1962-01-01,韩国,2.81,KOR
1962-01-01,沙特阿拉伯,2.13,SAU
1963-01-01,美国,637.06,USA
1963-01-01,德国,112.23,DEU
1963-01-01,英国,86.56,GBR
1963-01-01,法国,83.96,FRA
1963-01-01,日本,74.38,JPN
1963-01-01,意大利,60.04,ITA
1963-01-01,中国,50.71,CHN
1963-01-01,印度,48.42,IND
1963-01-01,加拿大,45.14,CAN
1963-01-01,巴西,23.29,BRA
1963-01-01,澳大利亚,21.54,AUS
1963-01-01,瑞典,20.34,SWE
1963-01-01,西班牙,19.63,ESP
1963-01-01,阿根廷,18.27,ARG
1963-01-01,荷兰,17.19,NLD
1963-01-01,墨西哥,16.96,MEX
1963-01-01,比利时,14.45,BEL
1963-01-01,瑞士,14.28,CHE
1963-01-01,土耳其,10.36,TUR
1963-01-01,伊朗,4.93,IRN
1963-01-01,韩国,3.99,KOR
1963-01-01,沙特阿拉伯,2.21,SAU
1964-01-01,美国,684.14,USA
1964-01-01,德国,123.33,DEU
1964-01-01,英国,94.41,GBR
1964-01-01,法国,93.08,FRA
1964-01-01,日本,87.49,JPN
1964-01-01,意大利,65.72,ITA
1964-01-01,中国,59.71,CHN
1964-01-01,印度,56.48,IND
1964-01-01,加拿大,49.5,CAN
1964-01-01,阿根廷,25.61,ARG
1964-01-01,澳大利亚,23.8,AUS
1964-01-01,瑞典,22.69,SWE
1964-01-01,西班牙,21.97,ESP
1964-01-01,巴西,20.96,BRA
1964-01-01,荷兰,20.23,NLD
1964-01-01,墨西哥,20.08,MEX
1964-01-01,比利时,16.17,BEL
1964-01-01,瑞士,15.83,CHE
1964-01-01,土耳其,11.18,TUR
1964-01-01,伊朗,5.38,IRN
1964-01-01,韩国,3.46,KOR
1964-01-01,沙特阿拉伯,2.37,SAU
1965-01-01,美国,741.9,USA
1965-01-01,德国,134.77,DEU
1965-01-01,英国,101.82,GBR
1965-01-01,法国,100.52,FRA
1965-01-01,日本,97.34,JPN
1965-01-01,意大利,70.72,ITA
1965-01-01,中国,70.44,CHN
1965-01-01,印度,59.56,IND
1965-01-01,加拿大,54.65,CAN
1965-01-01,阿根廷,28.34,ARG
1965-01-01,澳大利亚,25.98,AUS
1965-01-01,西班牙,25.48,ESP
1965-01-01,瑞典,24.96,SWE
1965-01-01,荷兰,22.72,NLD
1965-01-01,巴西,22.47,BRA
1965-01-01,墨西哥,21.84,MEX
1965-01-01,比利时,17.6,BEL
1965-01-01,瑞士,16.78,CHE
