1960---1---美国---美洲---5419.89亿 (541,988,586,206)---39.5051%
1960---2---德国---欧洲---846.20亿 (84,619,845,881)---6.1679%
1960---3---英国---欧洲---732.34亿 (73,233,967,692)---5.3380%
1960---4---法国---欧洲---617.57亿 (61,756,878,990)---4.5014%
1960---5---中国---亚洲---597.16亿 (59,716,249,310)---4.3527%
1960---6---日本---亚洲---474.19亿 (47,419,238,274)---3.4563%
1960---7---意大利---欧洲---420.12亿 (42,012,422,612)---3.0622%
1960---8---加拿大---美洲---405.64亿 (40,563,768,946)---2.9567%
1960---9---印度---亚洲---370.30亿 (37,029,883,876)---2.6991%
1960---10---澳大利亚---大洋洲---186.08亿 (18,607,682,977)---1.3563%
1960---11---巴西---美洲---170.30亿 (17,030,465,539)---1.2413%
1960---12---瑞典---欧洲---159.30亿 (15,930,258,332)---1.1611%
1960---13---土耳其---欧洲---139.84亿 (13,983,572,895)---1.0193%
1960---14---荷兰---欧洲---132.83亿 (13,282,979,014)---0.9682%
1960---15---墨西哥---美洲---130.40亿 (13,040,000,000)---0.9505%
1960---16---西班牙---欧洲---124.25亿 (12,424,514,013)---0.9056%
1960---17---比利时---欧洲---118.11亿 (11,810,619,368)---0.8609%
1960---18---瑞士---欧洲---104.12亿 (10,412,232,620)---0.7589%
1960---19---南非---非洲---87.49亿 (8,748,596,500)---0.6377%
1960---20---委内瑞拉---美洲---76.64亿 (7,663,938,303)---0.5586%
1960---21---菲律宾---亚洲---75.16亿 (7,515,894,110)---0.5478%
1960---22---奥地利---欧洲---66.24亿 (6,624,086,313)---0.4828%
1960---23---丹麦---欧洲---63.61亿 (6,361,166,544)---0.4637%
1960---24---新西兰---大洋洲---55.36亿 (5,536,098,606)---0.4035%
1960---25---芬兰---欧洲---52.79亿 (5,279,481,824)---0.3848%
1960---26---挪威---欧洲---51.97亿 (5,197,398,721)---0.3788%
1960---27---孟加拉---亚洲---42.75亿 (4,274,894,083)---0.3116%
1960---28---希腊---欧洲---42.75亿 (4,274,890,306)---0.3116%
1960---29---埃及---非洲---42.06亿 (4,206,270,175)---0.3066%
1960---30---伊朗---亚洲---41.99亿 (4,199,134,389)---0.3061%
1960---31---尼日利亚---非洲---41.96亿 (4,196,174,501)---0.3059%
1960---32---智利---美洲---41.10亿 (4,110,000,000)---0.2996%
1960---33---哥伦比亚---美洲---40.31亿 (4,031,152,976)---0.2938%
1960---34---韩国---亚洲---39.59亿 (3,958,811,881)---0.2886%
1960---35---巴基斯坦---亚洲---37.49亿 (3,749,265,014)---0.2733%
1960---36---刚果（金）---非洲---33.59亿 (3,359,404,117)---0.2449%
1960---37---葡萄牙---欧洲---33.39亿 (3,339,150,157)---0.2434%
1960---38---以色列---亚洲---30.65亿 (3,064,824,613)---0.2234%
1960---39---泰国---亚洲---27.61亿 (2,760,750,860)---0.2012%
1960---40---阿尔及利亚---非洲---27.24亿 (2,723,615,451)---0.1985%
1960---41---坦桑尼亚---非洲---26.52亿 (2,651,729,807)---0.1933%
1960---42---秘鲁---美洲---25.72亿 (2,571,986,572)---0.1875%
